4240.0563 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4240.0563 	EXP 	text: autoDraw = True
4240.0731 	EXP 	Instructions_text: autoDraw = True
4240.0731 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4240.0731 	EXP 	text: autoDraw = True
4240.0897 	EXP 	Instructions_text: autoDraw = True
4240.0897 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4240.0897 	EXP 	text: autoDraw = True
4240.1063 	EXP 	Instructions_text: autoDraw = True
4240.1063 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4240.1063 	EXP 	text: autoDraw = True
4240.1230 	EXP 	Instructions_text: autoDraw = True
4240.1230 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4240.1230 	EXP 	text: autoDraw = True
4240.1397 	EXP 	Instructions_text: autoDraw = True
4240.1397 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4240.1397 	EXP 	text: autoDraw = True
4240.1401 	DATA 	Keypress: space
4240.1768 	EXP 	Instructions_text: autoDraw = True
4240.1768 	EXP 	text: text = '\n<<Чтобы просмотреть предыдущий слайд с инструкцией, нажмите стрелку влево>>\n<<Слайд 10 из 10>>'
4240.1768 	EXP 	text: autoDraw = True
4240.4563 	EXP 	Instructions_text: autoDraw = True
4240.4563 	EXP 	text: autoDraw = False
4240.4563 	EXP 	Instructions_text: autoDraw = False
4240.4563 	EXP 	DemoInstr: text = 'Так будет выглядеть экран во время проведения эксперимента.\n\nЗдесь будут подсказки:\n\n1 — каламбур,     2 — ирония,     3 — метафора\n0 — отменить выбор, текст в прямом смысле\nСтрелка вправо — читать следующее слово.>>'
4240.4563 	EXP 	DemoInstr: autoDraw = True
4240.4563 	EXP 	Label: text = 'Здесь будет появляться название класса, который вы выберете.'
4240.4563 	EXP 	text_2: text = 'Здесь будет показано предложение, его вы станете пролистывать слово за словом с помощью стрелки вправо.\n\nЕсли вы готовы, нажмите "пробел": вы перейдете к первому тренировочному предложению.'
4240.4563 	EXP 	sentenceCounter: text = '<<Это счетчик предложений>>'
4240.4563 	EXP 	text_2: autoDraw = True
4240.4563 	EXP 	Label: autoDraw = True
4240.4563 	EXP 	sentenceCounter: autoDraw = True
4241.9756 	DATA 	Keypress: right
4242.9503 	DATA 	Keypress: space
4243.0234 	EXP 	DemoInstr: autoDraw = True
4243.0234 	EXP 	DemoInstr: text = '\n1 — каламбур,     2 — ирония,     3 — метафора\n0 — отменить выбор, текст в прямом смысле\nСтрелка вправо — читать следующее слово.'
4243.0234 	EXP 	sentenceCounter: text = '\n\n\n<<Предложение 1 из 4>>'
4243.0234 	EXP 	sentenceCounter: autoDraw = True
4243.0234 	EXP 	text_2: text = ' День'
4243.0234 	EXP 	DemoInstr: autoDraw = True
4243.0234 	EXP 	Label: autoDraw = True
4243.0234 	EXP 	text_2: color = 'black'
4243.0234 	EXP 	Label: color = 'black'
4243.0234 	EXP 	Label: text = ''
4243.0234 	EXP 	sentenceCounter: text = '\n\n\n<<Предложение 1 из 4>>'
4243.0234 	EXP 	text_2: autoDraw = True
4243.0234 	EXP 	Label: autoDraw = True
4243.0234 	EXP 	sentenceCounter: autoDraw = True
4243.0406 	EXP 	text_2: autoDraw = True
4243.0406 	EXP 	Label: autoDraw = True
4243.0406 	EXP 	sentenceCounter: autoDraw = True
4244.6417 	DATA 	Keypress: right
4244.6884 	EXP 	text_2: text = ' День космотавтики'
4244.6884 	EXP 	DemoInstr: autoDraw = True
4244.6884 	EXP 	Label: autoDraw = True
4244.6884 	EXP 	text_2: color = 'black'
4244.6884 	EXP 	Label: color = 'black'
4244.6884 	EXP 	Label: text = ''
4244.6884 	EXP 	sentenceCounter: text = '\n\n\n<<Предложение 1 из 4>>'
4244.6884 	EXP 	text_2: autoDraw = True
4244.6884 	EXP 	Label: autoDraw = True
4244.6884 	EXP 	sentenceCounter: autoDraw = True
4245.1753 	DATA 	Keypress: right
4245.2067 	EXP 	text_2: text = ' День космотавтики отмечают'
4245.2067 	EXP 	DemoInstr: autoDraw = True
4245.2067 	EXP 	Label: autoDraw = True
4245.2067 	EXP 	text_2: color = 'black'
4245.2067 	EXP 	Label: color = 'black'
4245.2067 	EXP 	Label: text = ''
4245.2067 	EXP 	sentenceCounter: text = '\n\n\n<<Предложение 1 из 4>>'
4245.2067 	EXP 	text_2: autoDraw = True
4245.2067 	EXP 	Label: autoDraw = True
4245.2067 	EXP 	sentenceCounter: autoDraw = True
4245.7064 	DATA 	Keypress: right
4245.7406 	EXP 	text_2: text = ' День космотавтики отмечают во'
4245.7406 	EXP 	DemoInstr: autoDraw = True
4245.7406 	EXP 	Label: autoDraw = True
4245.7406 	EXP 	text_2: color = 'black'
4245.7406 	EXP 	Label: color = 'black'
4245.7406 	EXP 	Label: text = ''
4245.7406 	EXP 	sentenceCounter: text = '\n\n\n<<Предложение 1 из 4>>'
4245.7406 	EXP 	text_2: autoDraw = True
4245.7406 	EXP 	Label: autoDraw = True
4245.7406 	EXP 	sentenceCounter: autoDraw = True
4246.3104 	DATA 	Keypress: right
